RA,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Fase,Pedra,Idade,Gênero,Atingiu PV,IPP,Escola,Ano,Tipo_Escola,Risco_Defasagem,delta_IDA,is_new
RA-133,7.5,7.9,2.52,5.3,6.505,5.0,6.168416667,FASE 5,Agata,16.0,Feminino,,7.1875,,2023,Privada,1,-0.2999999999999998,0
RA-1330,10.002,9.3333333335,7.51,9.5,7.915,10.0,8.944616666700002,ALFA,Topázio,8.0,Feminino,,8.4375,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1331,9.002,7.291666666499999,7.51,7.25,7.245,10.0,7.8522833333,ALFA,Ametista,7.0,Feminino,,8.4375,EE Jardim Campestre,2024,Pública,0,0.0,1
RA-1332,8.502,9.411764706,7.51,8.25,7.665,5.0,8.1040529412,ALFA,Topázio,10.0,Masculino,,9.375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1333,7.502,10.0,6.255,9.25,7.75,5.0,8.213199999999999,ALFA,Topázio,9.0,Masculino,,9.375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1334,10.002,10.0,5.625,9.0,7.75,5.0,8.350200000000001,ALFA,Topázio,9.0,Masculino,,9.375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1335,9.002,9.75,7.51,8.75,7.665,5.0,8.3217,ALFA,Topázio,10.0,Masculino,,9.375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1336,9.502,6.2008281575,2.51,9.5,7.75,5.0,7.141365631500001,ALFA,Ametista,8.0,Feminino,,7.5,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1337,8.002,4.722222222,7.51,6.0,5.66,5.0,6.015144444400001,ALFA,Agata,10.0,Masculino,,6.875,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1338,8.002,8.6607142855,7.51,3.0,5.33,5.0,6.1368428571,ALFA,Agata,8.0,Masculino,,6.875,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1339,8.502,10.0,6.885,8.75,5.33,5.0,7.3547,ALFA,Ametista,8.0,Feminino,,5.0,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-134,8.8,6.8,7.5,4.7,7.375,5.0,6.607,4,,15.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-1340,9.502,8.392857143,7.51,10.0,7.0,10.0,8.3422714286,ALFA,Topázio,8.0,Feminino,,5.625,EM Etelvina Delfim Simões,2024,Privada,0,0.0,1
RA-1341,10.002,9.246031746,7.51,10.0,6.0,5.0,7.862906349200001,ALFA,Ametista,9.0,Masculino,,5.625,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1342,9.502,9.761904762,7.51,9.0,5.575,5.0,7.8185809524000005,ALFA,Ametista,8.0,Masculino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1343,8.002,10.0,7.51,9.75,8.5,10.0,8.8262,ALFA,Topázio,7.0,Feminino,,6.25,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1344,8.502,10.0,7.51,10.0,9.425,10.0,9.3612,ALFA,Topázio,8.0,Feminino,,8.75,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1345,8.502,9.4590643275,7.51,6.25,6.83,5.0,7.2340128655000004,ALFA,Ametista,9.0,Masculino,,6.25,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1346,9.502,8.0595238095,7.51,5.5,6.66,10.0,7.3701047619,ALFA,Ametista,8.0,Masculino,,6.25,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,0,0.0,1
RA-1347,8.502,8.7857142855,2.51,5.0,6.165,5.0,6.153842857100001,ALFA,Agata,9.0,Masculino,,5.625,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1348,7.502,8.5913312695,7.51,9.0,7.83,5.0,7.9604662539,ALFA,Ametista,8.0,Masculino,,8.75,EE Jardim Silvania,2024,Pública,1,0.0,1
RA-1349,8.002,8.388888889,7.51,8.5,7.915,5.0,7.855727777800001,ALFA,Ametista,10.0,Masculino,,8.4375,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-135,8.3,7.8,5.6,8.6,8.583,5.0,7.692,4,Topázio,15.0,Feminino,Sim,,,2022,Privada,1,0.0,1
RA-1350,8.502,10.0,8.755,8.5,7.83,5.0,8.335450000000002,ALFA,Topázio,10.0,Feminino,,8.4375,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-1351,9.002,9.230769231,8.13,8.75,7.665,5.0,8.1861038462,ALFA,Topázio,9.0,Masculino,,8.4375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1352,10.002,9.5,8.13,8.5,7.665,5.0,8.289950000000001,ALFA,Topázio,9.0,Masculino,,8.4375,EM Amanda Consuelo da Cunha,2024,Privada,1,0.0,1
RA-1353,8.002,9.5,7.51,3.0,6.08,5.0,6.454700000000001,ALFA,Agata,10.0,Feminino,,6.875,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1354,9.502,8.3636363635,7.51,6.0,7.335,5.0,7.353427272700001,ALFA,Ametista,10.0,Feminino,,8.125,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1355,10.002,6.5227272725,7.51,7.0,7.17,5.0,7.202245454500001,ALFA,Ametista,10.0,Masculino,,8.125,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1356,9.002,9.4444444445,7.51,5.5,7.085,10.0,7.8695888889,ALFA,Ametista,8.0,Feminino,,8.125,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1357,8.002,7.5,7.51,6.75,7.335,5.0,7.1807,ALFA,Ametista,9.0,Masculino,,8.125,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1358,9.168,7.380952381,5.01,4.0,6.17,10.0,6.552990476200001,ALFA,Agata,7.0,Feminino,,6.25,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1359,8.502,9.0,5.635,6.0,6.17,10.0,7.2102,ALFA,Ametista,7.0,Feminino,,5.625,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-136,10.0,6.3,7.5,4.6,6.667,5.0,6.478,4,Ágata,15.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-1360,8.502,7.0018115945,7.51,5.0,6.42,10.0,6.8480623189,ALFA,Agata,8.0,Masculino,,5.625,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1361,9.502,9.375,5.635,10.0,8.0,10.0,8.738700000000001,ALFA,Topázio,8.0,Feminino,,7.5,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1362,10.002,6.875,5.635,8.5,6.915,10.0,7.709200000000001,ALFA,Ametista,7.0,Masculino,,6.875,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1363,7.418,10.0,5.635,6.5,6.99,10.0,7.690800000000001,ALFA,Ametista,7.0,Feminino,,6.875,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1364,8.002,8.4166666665,7.51,8.75,6.99,5.0,7.570033333300001,ALFA,Ametista,9.0,Masculino,,6.875,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1365,9.002,9.7916666665,6.26,6.5,6.99,5.0,7.3700333333,ALFA,Ametista,9.0,Masculino,,6.875,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1366,9.002,6.6032608695,7.51,6.5,6.99,5.0,6.919852173900001,ALFA,Agata,8.0,Feminino,,7.5,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1367,10.002,8.3804347825,7.51,8.75,7.5,10.0,8.427286956500001,ALFA,Topázio,8.0,Feminino,,7.5,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1368,7.002,10.0,7.51,9.5,7.5,10.0,8.6012,ALFA,Topázio,8.0,Masculino,,7.5,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1369,8.502,8.6304347825,6.26,8.0,7.5,10.0,8.052286956500001,ALFA,Topázio,7.0,Feminino,,7.5,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-137,7.5,8.9,5.0,7.3,7.792,2.5,7.056,4,Quartzo,17.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-137,7.1,6.3,2.52,6.0,6.88,5.0,5.937025,FASE 5,Quartzo,17.0,Feminino,,6.40625,,2023,Privada,1,-1.2999999999999998,0
RA-137,9.585,7.582972583,5.005,6.833333333333333,6.276666667,5.0,6.576761183366667,5F,Agata,18.0,Feminino,,4.791666667,Concluiu o 3º EM,2024,Privada,1,0.833333333333333,0
RA-1370,10.002,8.722222222,7.51,9.0,7.5,5.0,8.0456444444,ALFA,Topázio,9.0,Masculino,,7.5,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1371,7.502,6.9782608695,7.51,4.5,7.5,5.0,6.4843521739,ALFA,Agata,11.0,Feminino,,6.875,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1372,9.502,10.0,8.13,4.75,7.5,10.0,7.9632000000000005,ALFA,Ametista,8.0,Feminino,,7.5,EE Jardim Silvania,2024,Pública,0,0.0,1
RA-1373,9.502,8.8804347825,7.51,6.75,7.5,5.0,7.577286956500001,ALFA,Ametista,9.0,Feminino,,7.5,EE Joaquim Mendes Feliz,2024,Pública,1,0.0,1
RA-1374,9.502,9.347826087,7.51,5.25,7.5,5.0,7.3707652174,ALFA,Ametista,9.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1375,9.502,10.0,7.51,8.25,7.5,5.0,8.101200000000002,ALFA,Topázio,9.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1376,9.002,9.6153846155,7.51,9.75,7.5,5.0,8.2742769231,ALFA,Topázio,9.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1377,9.002,10.0,8.13,5.5,6.99,10.0,7.8987,ALFA,Ametista,8.0,Masculino,,6.875,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1378,9.002,9.2857142855,8.13,6.75,7.5,5.0,7.6703428571,ALFA,Ametista,10.0,Feminino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1379,9.502,8.6842105265,3.755,7.25,5.16,5.0,6.638292105300001,ALFA,Agata,8.0,Masculino,,5.9375,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-138,9.6,8.0,5.6,5.6,6.375,5.0,6.738,4,Ametista,15.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-138,10.0,7.9,6.26,4.3,7.4175,5.0,6.784075,FASE 4,Agata,16.0,Masculino,,7.34375,,2023,Privada,1,-1.2999999999999998,0
RA-138,9.585,8.751803751666666,7.51,5.833333333333333,7.443333333,5.0,7.3860274169,5F,Ametista,17.0,Masculino,,7.708333333,EE Paschoal Carlos Magno,2024,Pública,1,1.5333333333333332,0
RA-1380,9.502,8.784461152999999,4.385,8.0,7.5,10.0,7.964342230600001,ALFA,Ametista,8.0,Masculino,,7.1875,Estuda em outra cidade,2024,Privada,0,0.0,1
RA-1381,9.502,10.0,8.13,9.5,7.5,10.0,9.038200000000002,ALFA,Topázio,8.0,Feminino,,8.75,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1382,8.502,9.761904762,7.51,7.5,7.5,5.0,7.834830952400001,ALFA,Ametista,9.0,Feminino,,7.8125,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1383,8.502,9.2606516295,7.51,8.5,7.5,10.0,8.3720803259,ALFA,Topázio,8.0,Feminino,,7.1875,EE Luiz Schunck,2024,Pública,0,0.0,1
RA-1384,8.002,7.5689223055,7.51,5.0,5.16,5.0,6.221984461100001,ALFA,Agata,10.0,Masculino,,6.25,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1385,10.002,10.0,4.385,8.0,7.5,5.0,7.7262,ALFA,Ametista,8.0,Masculino,,6.875,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1386,9.002,9.761904762,7.51,7.25,7.5,5.0,7.803580952400001,ALFA,Ametista,8.0,Feminino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1387,9.502,8.759398496,7.51,8.0,7.5,5.0,7.8030796992,ALFA,Ametista,8.0,Feminino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1388,9.002,8.214285713999999,6.88,5.0,7.67,5.0,7.015057142799999,ALFA,Ametista,8.0,Feminino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1389,9.002,9.7916666665,6.88,10.0,8.42,10.0,8.980533333299999,ALFA,Topázio,7.0,Feminino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-139,7.1,3.5,5.0,1.4,3.917,2.5,3.738,4,Quartzo,17.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-1390,9.502,9.7916666665,5.005,8.25,8.42,10.0,8.4930333333,ALFA,Topázio,7.0,Feminino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1391,8.502,9.2916666665,7.51,10.0,8.17,10.0,8.8435333333,ALFA,Topázio,7.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1392,9.002,5.625,7.51,0.0,7.0,5.0,5.4262,ALFA,Quartzo,9.0,Masculino,,7.5,EM Etelvina Delfim Simões,2024,Privada,1,0.0,1
RA-1393,9.502,7.5,3.755,5.0,8.42,10.0,7.2597000000000005,ALFA,Ametista,7.0,Feminino,,7.5,EE Francisco de Paula Teixeira,2024,Pública,0,0.0,1
RA-1394,9.502,8.6944444445,7.51,5.75,8.003333333,5.0,7.503255555500002,1A,Ametista,10.0,Feminino,,8.125,EE Chácara Florida II,2024,Pública,1,0.0,1
RA-1395,9.502,10.0,7.51,7.75,7.836666667,10.0,8.5997833334,1A,Topázio,9.0,Feminino,,7.8125,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1396,9.502,10.0,7.51,6.5,7.67,5.0,7.8477,1A,Ametista,11.0,Feminino,,8.125,EM Bairro Lagoa Grande,2024,Privada,1,0.0,1
RA-1397,9.002,10.0,6.26,7.0,7.946666667,5.0,7.8280333334000005,1A,Ametista,10.0,Feminino,,8.125,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1398,6.918,9.555335968,7.51,8.0,8.616666667,5.0,7.989700527000001,1B,Ametista,11.0,Feminino,,8.125,EE Leonice de Aquino Oliveira,2024,Pública,1,0.0,1
RA-1399,9.002,9.7727272725,5.005,6.0,8.166666667,5.0,7.438578787899999,1B,Ametista,11.0,Feminino,,7.5,EE Olivia de Faria Nogueira,2024,Pública,1,0.0,1
RA-14,7.9,8.3,7.5,4.0,7.75,5.0,6.793,7,,21.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-14,,,,,,10.0,,FASE 8,,21.0,Masculino,,,,2023,Privada,0,0.0,0
RA-14,,0.0,,,,10.0,,8E,,22.0,Masculino,,,Faculdade FIAP,2024,Privada,0,0.0,0
RA-140,7.9,7.6,6.9,5.7,7.667,10.0,7.407,4,,14.0,Feminino,Não,,,2022,Privada,0,0.0,1
RA-1400,8.418,6.6501976285,7.51,7.25,7.5,10.0,7.622839525700001,1B,Ametista,9.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1401,6.918,8.888888889,7.51,10.0,8.085,5.0,8.1188277778,1C,Topázio,13.0,Masculino,,7.8125,EE Paschoal Carlos Magno,2024,Pública,1,0.0,1
RA-1402,10.002,9.5454545455,7.51,7.25,8.17,10.0,8.588040909100002,1D,Topázio,10.0,Feminino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1403,9.002,9.3073593075,7.51,8.75,8.255,5.0,8.257421861500001,1D,Topázio,11.0,Feminino,,8.4375,EE Joaquim Mendes Feliz,2024,Pública,1,0.0,1
RA-1404,8.502,9.090909091,7.51,7.5,8.17,10.0,8.3971318182,1D,Topázio,9.0,Feminino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1405,8.002,8.6363636365,7.51,8.75,8.17,10.0,8.4749727273,1D,Topázio,10.0,Feminino,,8.125,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1406,8.002,8.8636363635,7.51,7.5,8.255,5.0,7.8186772727000005,1D,Ametista,10.0,Feminino,,8.4375,EE Joaquim Mendes Feliz,2024,Pública,1,0.0,1
RA-1407,10.002,9.318181818,7.51,5.75,7.5,5.0,7.546086363600001,1D,Ametista,10.0,Masculino,,7.8125,EE Joaquim Mendes Feliz,2024,Pública,1,0.0,1
RA-1408,10.002,8.409090909,7.51,6.75,7.5,5.0,7.626768181800001,1D,Ametista,11.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1409,10.002,9.0909090905,7.51,7.25,7.5,5.0,7.863131818100001,1D,Ametista,10.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-141,9.2,8.2,5.6,5.7,5.917,10.0,7.118,4,Ágata,14.0,Masculino,Não,,,2022,Privada,0,0.0,1
RA-141,9.6,8.4,5.63,4.5,7.0425,5.0,6.719791667,FASE 4,Agata,15.0,Masculino,,7.03125,,2023,Privada,1,-1.2000000000000002,0
RA-1410,9.002,8.1136363635,7.51,6.25,8.165,5.0,7.5319272727,1E,Ametista,11.0,Masculino,,8.75,EE Levi Pereira Martins Professor,2024,Pública,1,0.0,1
RA-1411,9.002,9.5,6.26,2.75,7.835,5.0,6.886950000000001,1E,Agata,11.0,Masculino,,8.4375,EE Alexandre Rodrigues Nogueira,2024,Pública,1,0.0,1
RA-1412,10.002,9.3073593075,7.51,9.75,8.835,10.0,9.204671861500001,1E,Topázio,10.0,Masculino,,8.75,EE Chácara Florida II,2024,Pública,0,0.0,1
RA-1413,9.002,8.593073593,7.51,7.25,7.92,5.0,7.747564718600001,1E,Ametista,12.0,Masculino,,8.4375,EE Olivia de Faria Nogueira,2024,Pública,1,0.0,1
RA-1414,9.502,9.2965367965,6.885,8.5,8.835,10.0,8.840007359300001,1E,Topázio,10.0,Feminino,,8.75,EM Etelvina Delfim Simões,2024,Privada,0,0.0,1
RA-1415,8.002,9.7727272725,6.26,6.75,7.056666667,5.0,7.3712454546,1G,Ametista,10.0,Feminino,,7.291666667,EM Maria Ignez Concelles Irma Ines,2024,Privada,1,0.0,1
RA-1416,8.502,8.2765151515,7.51,7.75,6.386666667,5.0,7.375503030400001,1G,Ametista,12.0,Feminino,,7.916666667,EE Loris Nassif Mattar Profa,2024,Pública,1,0.0,1
RA-1417,9.002,9.337121212,7.51,9.0,6.5,5.0,7.7436242424,1G,Ametista,10.0,Masculino,,6.25,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,0.0,1
RA-1418,8.502,9.128787879,7.51,8.25,6.833333333,5.0,7.7352909091000015,1G,Ametista,11.0,Masculino,,7.916666667,EM Pedro Antonio de Almeida,2024,Privada,1,0.0,1
RA-1419,8.502,10.0,7.51,7.5,8.783333333,10.0,8.7536999999,1H,Topázio,10.0,Feminino,,8.958333333,EM Pedro Antonio de Almeida,2024,Privada,0,0.0,1
RA-142,6.7,8.6,5.6,6.3,7.583,10.0,7.457,4,,14.0,Feminino,Não,,,2022,Privada,0,0.0,1
RA-1420,7.918,5.520833333500001,6.26,4.5,5.44,5.0,5.6558,1H,Quartzo,12.0,Masculino,,6.458333333,EE Olivia de Faria Nogueira,2024,Pública,1,0.0,1
RA-1421,9.002,6.777777778,7.51,7.5,7.163333333,5.0,7.126922222200001,1H,Ametista,11.0,Masculino,,6.875,EM Pedro Antonio de Almeida,2024,Privada,1,0.0,1
RA-1422,9.502,7.5,7.51,4.75,7.7475,5.0,7.0132,1J,Ametista,11.0,Feminino,,8.125,EE João Ortiz Rodrigues,2024,Pública,1,0.0,1
RA-1423,8.502,5.3125,7.51,5.75,6.5425,5.0,6.403450000000001,1J,Agata,11.0,Masculino,,7.8125,EE João Ortiz Rodrigues,2024,Pública,1,0.0,1
RA-1424,9.002,8.9444444445,7.51,7.25,6.915,5.0,7.5543388889,1J,Ametista,12.0,Feminino,,7.8125,EE João Ortiz Rodrigues,2024,Pública,1,0.0,1
RA-1425,9.002,6.7976190475,7.51,7.0,5.92,5.0,6.8290988095000005,1J,Agata,12.0,Masculino,,7.34375,EE João Ortiz Rodrigues,2024,Pública,1,0.0,1
RA-1426,9.502,5.845238095,7.51,2.75,5.8325,5.0,5.8367476190000005,1J,Quartzo,11.0,Feminino,,7.5,EE Leonice de Aquino Oliveira,2024,Pública,1,0.0,1
RA-1427,9.502,10.0,7.51,8.0,8.6675,5.0,8.425325,1J,Topázio,11.0,Feminino,,8.90625,EM Maria Ignez Concelles Irma Ines,2024,Privada,1,0.0,1
RA-1428,8.502,8.8562091505,7.51,8.0,8.085,5.0,8.006108496800001,1L,Topázio,10.0,Masculino,,9.166666667,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1429,9.502,8.888888889,7.51,7.75,8.085,5.0,8.041811111100001,1L,Topázio,11.0,Masculino,,8.958333333,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-143,8.3,9.9,5.6,7.9,9.5,10.0,8.638,4,Topázio,13.0,Masculino,Sim,,,2022,Privada,0,0.0,1
RA-143,8.3,9.6,2.52,6.5,8.3375,10.0,7.794358333,FASE 5,Ametista,,Masculino,,8.28125,,2023,Privada,0,-1.4000000000000004,0
RA-143,10.002,9.92,6.885,2.6333333333333333,7.5,10.0,7.449366666666667,7E,Ametista,15.0,Masculino,,7.5,Colégio Arco Íris Evolução,2024,Privada,0,-3.8666666666666667,0
RA-1430,8.502,10.0,7.51,6.25,8.085,5.0,7.864033333300001,1L,Ametista,11.0,Masculino,,8.958333333,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1431,9.002,7.7432712215,7.51,8.0,9.09,5.0,7.9147292443,1M,Ametista,11.0,Feminino,,7.96875,EE Neide Celestina de Oliveira,2024,Pública,1,0.0,1
RA-1432,10.002,10.0,7.51,9.5,8.505,5.0,8.774075000000002,1M,Topázio,10.0,Feminino,,9.21875,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-1433,8.502,9.068322981,7.51,8.75,8.505,5.0,8.1939895962,1M,Topázio,10.0,Feminino,,8.28125,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-1434,8.502,7.9813664595,6.26,9.0,9.76,5.0,8.2775982919,1M,Topázio,10.0,Masculino,,9.53125,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-1435,9.502,7.833333333500001,7.51,7.5,6.165,10.0,7.7196166667,1M,Ametista,10.0,Masculino,,7.1875,EE Jardim Campestre,2024,Pública,0,0.0,1
RA-1436,7.418,8.674948240500001,7.51,8.0,7.17,5.0,7.589914648100001,1M,Ametista,11.0,Feminino,,8.28125,EM Alfredo Schunk,2024,Privada,1,0.0,1
RA-1437,8.502,9.347826087,7.51,8.0,7.92,5.0,7.982890217400001,1M,Ametista,11.0,Feminino,,8.28125,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1438,10.002,9.0,7.51,7.0,9.175,5.0,8.176825000000001,1M,Topázio,10.0,Feminino,,8.90625,EM Bairro Lagoa Grande,2024,Privada,1,0.0,1
RA-1439,7.502,10.0,7.51,8.5,9.345,5.0,8.507700000000002,1M,Topázio,11.0,Feminino,,9.375,EE Jardim Campestre,2024,Pública,1,0.0,1
RA-144,7.5,9.3,5.0,7.9,8.292,10.0,8.181,4,Ágata,14.0,Feminino,Não,,,2022,Privada,0,0.0,1
RA-144,0.0,5.2,2.52,4.4,6.0,10.0,4.990333333,FASE 5,Quartzo,14.0,Feminino,,6.25,,2023,Privada,0,-3.5,0
RA-1440,9.002,9.544513457499999,7.51,4.5,8.17,5.0,7.469102691500001,1M,Ametista,10.0,Feminino,,8.75,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1441,9.502,9.109730849,7.51,8.5,9.005,10.0,8.961646169800002,1M,Topázio,9.0,Masculino,,9.375,EE Jardim Campestre,2024,Pública,0,0.0,1
RA-1442,8.002,8.674948240500001,7.51,7.25,5.745,5.0,7.135189648100001,1M,Ametista,13.0,Masculino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,0.0,1
RA-1443,6.918,7.5,6.26,6.75,7.415,5.0,6.921633333300001,1N,Agata,13.0,Feminino,,7.708333333,EE Donizetti Aparecido Leite Professor,2024,Pública,1,0.0,1
RA-1444,8.502,5.277777778,7.51,6.0,7.415,5.0,6.610588888900001,1N,Agata,11.0,Masculino,,7.708333333,EE Donizetti Aparecido Leite Professor,2024,Pública,1,0.0,1
RA-1445,9.502,9.5,7.51,7.25,7.5,5.0,7.842866666700001,1N,Ametista,10.0,Feminino,,7.916666667,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,0.0,1
RA-1446,8.002,6.6501976285,6.26,0.0,7.075,10.0,5.9004061924,1N,Quartzo,9.0,Masculino,,7.291666667,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,0,0.0,1
RA-1447,9.502,9.7368421055,7.51,5.25,7.75,5.0,7.5402350878,1N,Ametista,11.0,Feminino,,7.916666667,EE Donizetti Aparecido Leite Professor,2024,Pública,1,0.0,1
RA-1448,9.002,9.5346320345,7.51,6.0,7.29,5.0,7.466126406900001,1P,Ametista,13.0,Feminino,,7.5,EE Donizetti Aparecido Leite Professor,2024,Pública,1,0.0,1
RA-1449,7.418,8.3333333335,7.51,6.75,7.04,5.0,7.214341666700001,1R,Ametista,10.0,Feminino,,7.96875,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-145,0.0,6.3,8.1,5.2,7.25,5.0,5.846,4,Ágata,16.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-145,7.9,9.0,,6.2,7.4625,2.5,,FASE 4,,17.0,Masculino,,7.96875,,2023,Privada,1,1.0,0
RA-1450,9.502,8.571428571,7.51,3.5,7.5425,10.0,7.405235714200002,1R,Ametista,9.0,Masculino,,7.8125,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.0,1
RA-1451,10.002,8.8095238095,7.51,6.0,7.7525,5.0,7.560479761900002,1R,Ametista,11.0,Feminino,,7.96875,EE Luiz Schunck,2024,Pública,1,0.0,1
RA-1452,9.002,10.0,7.51,7.75,8.17,10.0,8.6268666667,2A,Topázio,12.0,Masculino,,7.916666667,EE Leonice de Aquino Oliveira,2024,Pública,0,0.0,1
RA-1453,8.502,7.8214285715,6.25,6.5,7.67,5.0,7.1234857143,2A,Ametista,12.0,Feminino,,7.5,EE Leonice de Aquino Oliveira,2024,Pública,1,0.0,1
RA-1454,8.002,5.880952381,7.51,7.75,8.28,10.0,7.7042238095,2A,Ametista,10.0,Feminino,,7.708333333,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.0,1
RA-1455,8.002,7.777777778,7.51,3.5,7.833333333,5.0,6.6442555555,2A,Agata,12.0,Feminino,,7.708333333,EE Maria André Schunck Dona,2024,Pública,1,0.0,1
